Rudolf, Studenten	Der Briefwechsel zwischen Heinrich Bullinger und vier Zürcher Studenten in der Fremde, 1540/42		Friedrich Rudolf, Der Briefwechsel zwischen Heinrich Bullinger und vier Zürcher Studenten in der Fremde, 1540/42, in: ZTB 1943, NF 63, S. 51-66.
Rudolphi	Die Buchdrucker-Familie Froschauer in Zürich 1521-1595.		Die Buchdrucker-Familie Froschauer in Zürich 1521-1595. Verzeichniss der aus ihrer Offizin hervorgegangenen Druckwerke. Zusammengestellt und geordnet von E. Camillo Rudolphi, Zürich 1869 (Nachdruck: Nieuwkoop 1963).
Ruffini, Stancaro	Francesco Ruffini		Francesco Ruffini, Francesco Stancaro. Contributo alla storia della Riforma in Italia, in: ders., Studi sui riformatori italiani, hg. v. Arnaldo Bertola u.a, Turin 1955, S. 165-406.
Röhrich	Lexikon der sprichwörtlichen Redensarten		Lutz Röhrich, Lexikon der sprichwörtlichen Redensarten, 5 Bde., 3. Aufl., Freiburg u.a. 1995 - Herder Spektrum 4400.
Rüeger, Chronik (Rüeger)	Chronik der Stadt und Landschaft Schaffhausen		Johann Jakob Rüeger, Chronik der Stadt und Landschaft Schaffhausen, hg. v. Historisch-antiquarischen Verein des Kantons Schaffhausen, 2 Bde., Schaffhausen 1884/1892; Register, bearb. v. Georg Wanner, Schaffhausen 1910.
Rüetschi, Bildgedichte	Kurt Jakob Rüetschi Bildgedichte Rudolf Gwalthers		Kurt Jakob Rüetschi Bildgedichte Rudolf Gwalthers. Eine Quelle für Nachweis und Datierung von Zürcher Kunstwerken, in: Von Cyprian zur Walzenprägung. Streiflichter auf Zürcher Geist und Kultur der Bullingerzeit, Prof. Dr. Rudolf Schnyder zum 70. Geburtstag, hg. v. Hans Ulrich Bächtold, Zug 2001, S. 145-229.
Rüetschi, Gwalthers BW	Verzeichnis zu Rudolf Gwalther Vater (1519-1586) und Sohn (1552-1577)		Kurt Jakob Rüetschi, Verzeichnis zu Rudolf Gwalther Vater (1519-1586) und Sohn (1552-1577), Bd. I/1: Einleitung - Briefwechsel - Verzeichnis; Bd. I/2: Register, Baden-Baden 2019 - Bibliotheca Bibliographica Aureliana 253/4.
S	Huldreich Zwinglis Werke		Huldreich Zwinglis Werke. Ersste vollständige Ausgabe durch Melchior Schuler und Joh. Schulthess, 8 Bde., und 1 Suppl. bd., Zürich 1828-1842 und 1861.
SBAG	Schweizer Beiträge zur Allgemeinen Geschichte		Schweizer Beiträge zur Allgemeinen Geschichte, im Auftrag der Allgemeinen geschichtforschenden Gesellschaft der Schweiz, Aarau 1943ff.
SBB	Sammlung Bernerischer Biographien		Sammlung Bernerischer Biographien, hg. v. Historischen Verein des Kantons Bern, 5 Bde., Bern 1884-1902.
SC (SChr)	Sources chrétiennes		Sources chrétiennes, Lyon und später Paris, 1942ff.
SChr	Sources Chrétiennes		Sources Chrétiennes, Paris 1941ff.
SI	Schweizerisches Idiotikon. Wörterbuch der schweizerdeutschen Sprache		Schweizerisches Idiotikon. Wörterbuch der schweizerdeutschen Sprache, Frauenfeld 1881ff (http://www.idiotikon.ch/).
SKL	Schweizerisches Künstlerlexikon		Schweizerisches Künstlerlexikon, hg. mit Unterstützung des Bundes und kunstfreundlicher Privater v. Schweizerischen Kunstverein, redigiert unter Mitwirkung von Fachgenossen von Carl Brun, 4 Bde, Frauenfeld 1905-1917.
SKRG	Schriften zur Kirchen- und Rechtsgeschichte		Schriften zur Kirchen- und Rechtsgeschichte. Darstellungen und Quellen, hg. v. Ekkehart Fabian, Tübingen u.a. 1956-1985.
SMRT	Studies in Medieval and Renaissance Thought		Studies in Medieval and Renaissance Thought, Leiden 1966-2004.
SSRQ-Bern (SSRQ Bern)	Die Rechtsquellen des Kantons Bern		Die Rechtsquellen des Kantons Bern, Aarau 1939ff - Sammlung Schweizerischer Rechtsquellen, II. Abt.
SSRQ-Thurgau	Die Rechtsquellen des Thurgau Bern		Die Rechtsquellen des Thurgau Bern, Basel 2017ff - Sammlung Schweizerischer Rechtsquellen, XVII. Abt.
STC2	A Short-Title Catalogue of Books Printed in England, Scotland, Ireland and of English Books Printed Abroad, 1475-1640		A Short-Title Catalogue of Books Printed in England, Scotland, Ireland and of English Books Printed Abroad, 1475 - 1640, hg. v. Alfred W. Pollard und Gilbert R. Redgrave, 2. revidierte und erweiterte Ausgabe von William A. Jackson, Frederic S. Ferguson und Katharina F. Panzer, 3 Bde., 1976-1991.
SVRG	Schriften des Vereins für Reformationsgeschichte		Schriften des Vereins für Reformationsgeschichte, Güthersloh u.a. 1883ff.
Salat	Hans Salat, ein Schweizerischer Chronit und Dichter aus der ersten Hälfte des XVI. Jahrhunderts. Sein Leben und seine Schriften		Hans Salat, ein Schweizerischer Chronit und Dichter aus der ersten Hälfte des XVI. Jahrhunderts. Sein Leben und seine Schriften, hg. v. Jacob Baechtold, Basel 1876.
Schaff	The Creeds of Christendom with a History and Critical Notes		The Creeds of Christendom with a History and Critical Notes, hg. v. Philip Schaff, überarbeitet von David S. Schaff, 3 Bde., 6. Aufl., New York 1931 [Nachdruck: Grand Rapids, Michigan 1983].
Scheible, Wittenberg	Melanchthon rettet die Universität Wittenberg		Heinz Scheible, Melanchthon rettet die Universität Wittenberg, in: ders., Aufsätze zu Melanchthon, Tübingen 2010, S. 253-276.
Schertlin, Leben	Leben und Thaten des weiland wohledlen und gestrengen Herrn Sebastian Schertlin von Burtenbach		Leben und Thaten des weiland wohledlen und gestrengen Herrn Sebastian Schertlin von Burtenbach, durch ihn selbst deutsch beschrieben, hg. von Ottmar F. H. Schönhuth, Münster 1858.
