Thieme-Becker	Allgemeines Lexikon der bildenden Künstler von der Antike bis zur Gegenwart		Allgemeines Lexikon der bildenden Künstler von der Antike bis zur Gegenwart, begründet von Ulrich Thieme und Felix Becker, hg. v. Hans Vollmer, 36 Bde, Leipzig 1907-1947.
Thomas, S. Th	S. Thomae Aquinatis Summa Theologiae, cura et studdio Petri Caramello		S. Thomae Aquinatis Summa Theologiae, cura et studdio Petri Caramello, 3 Bde., Turin-Rom 1952-1965.
Thommen	Geschichte der Universität Basel 1532-1632		Rudolf Thommen, Geschichte der Universität Basel 1532-1632, Basel 1889.
Tillier	Geschichte des eidgenössischen Freistaates Bern von seinem Ursprunge bis zu seinem Untergange im Jahre 1798		Anton von Tillier, Geschichte des eidgenössischen Freistaates Bern von seinem Ursprunge bis zu seinem Untergange im Jahre 1798, 5 Bde. und Sachregisterband, Bern 1838-1840.
Toggenburger Chronik	Toggenburger Chronik. Urkundliche Geschichte sämmtlicher katholischer und evangelischer Kirchgemeinden der Landschaft Toggenburg		Toggenburger Chronik. Urkundliche Geschichte sämmtlicher katholischer und evangelischer Kirchgemeinden der Landschaft Toggenburg. Aus archivischen Quellen gesammelt und zusammengestellt von Aloïs Rüdliger und Huldreich Gustav Sulzberger, bearb. von Franz Rothenflue, Bütschwil 1887.
Traut	Kurfürst Joachim II. von Brandenburg und der Türkenfeldzug vom Jahre 1542		Hermann Heinrich Traut, Kurfürst Joachim II. von Brandenburg und der Türkenfeldzug vom Jahre 1542, Gummersbach 1892.
Trubar	Slavisticna Revija	3	Mirko, Rupel (1950) "H Korespondenci Trubar - Bullinger", Slavistična Revija 3 (1-2):149-56, Ljubljana, https://srl.si/ojs/srl/article/view/1950-1-2-0-18.
Turetschek	Die Türkenpolitik Ferdinands I. von 1529-1532	10	Christine Turetschek, Die Türkenpolitik Ferdinands I. von 1529-1532, Wien 1968. - Dissertationen der Universität Wien, Bd. 10.
UBZug	Urkundenbuch von Stadt und Amt Zug. Vom Eintritt in den Bund bis zum Ausgang des Mittelalters 1352-1528		Urkundenbuch von Stadt und Amt Zug. Vom Eintritt in den Bund bis zum Ausgang des Mittelalters 1352-1528, bearb. Und hg. v. E[ugen] Gruber, A[lbert] Iten, E[rst] Zumbach, 2 Bde., Zug 1952/1964.
USTC	Universal Short Title Catalogue		Universal Short Title Catalogue (http://ustc.ac.uk).
Une grande figure de réformateur, Henri Bullinger	Semeur vaudois. Journal de l’église nationale	LXXVIe	Meylan, Henri (1954) "Une grande figure de réformateur, Henri Bullinger", Semeur vaudois. Journal de l’église nationale.
Unveröffentlichte Werke der Kappeler Zeit	Heinrich Bullinger, Theologische Schriften	2	Heinrich Bullinger, Theologische Schriften, Bd. 2: Unveröffentlichte Werke der Kappeler Zeit; Theologica, bearb. von H.-G. vom Berg, B. Schneider und E. Zsindely, Zürich 1991, 19-31.
VD16 (VD 16)	Verzeichnis der im deutschen Sprachbereich erschienenen Drucke des XVI. Jahrhunderts		Verzeichnis der im deutschen Sprachbereich erschienenen Drucke des XVI. Jahrhunderts: VD 16, hg. v. der Bayerischen Staatsbibliothek in München in Verbindung mit der Herzog-August-Bibliothek in Wolfenbüttel, 25 Bde., Stuttgart 1982-2000 (www.vd16.de).
VL16	Frühe Neuzeit in Deutschland, 1520-1620. Verfasserlexikon		Frühe Neuzeit in Deutschland, 1520-1620. Verfasserlexikon, hg. v. Wilhelm Kühlmann, Jan-Dirk Müller, Michael Schilling, Johann Anselm Steiger und Friedrich Vollhardt, Berlin/New York 2011ff.
VLHum	Deutscher Humanismus		Deutscher Humanismus, 1480-1520. Verfasserlexikon, hg. v. Franz Josepf Worstbrock, 3 Bde., Berlin/New York 2008-2015.
Vadian BW	Die Vadianische Briefsammlung der Stadtbibliothek St. Gallen		Die Vadianische Briefsammlung der Stadtbibliothek St. Gallen, hg. v. Emil Arbenz und Hermann Wartmann, 7 Bde., St. Gallen 1890-1913 - MVG 24-30a.
Vadian BW V	Vadianische Briefsammlung V. 1531-1540	V	Die Vadianische Briefsammlung der Stadtbibliothek St. Gallen, hg. v. Emil Arbenz und Hermann Wartmann, 7 Bde., St. Gallen 1890-1913 - MVG 24-30a.
Vadian BW VI	Vadianische Briefsammlung VI. 1541-1551	6	Die Vadianische Briefsammlung der Stadtbibliothek St. Gallen, hg. v. Emil Arbenz und Hermann Wartmann, 7 Bde., St. Gallen 1890-1913 - MVG 24-30a.
Vadian BW VII	Vadianische Briefsammlung VII (Ergänzungsband)	7	Die Vadianische Briefsammlung der Stadtbibliothek St. Gallen, hg. v. Emil Arbenz und Hermann Wartmann, 7 Bde., St. Gallen 1890-1913 - MVG 24-30a.
Vadian BW VII	Vadianische Briefsammlung VII (Ergänzungsband)	7	Die Vadianische Briefsammlung der Stadtbibliothek St. Gallen, hg. v. Emil Arbenz und Hermann Wartmann, 7 Bde., St. Gallen 1890-1913 - MVG 24-30a.
Vadian DHS	Deutsche historische Schriften		Joachim v. Watt (Vadian), Deutsche historische Schriften, hg. v. Ernst Götzinger, 3 Bde., St. Gallen 1875-1879.
Vadian Diarium	Diarium		Joachim von Watt (Vadian), Diarium, hg v. Ernst Götzinger, in: Vadian DHS 227-528.
Vadian Grosse Chronik	Die Grössere Chronik der Äbte. Abtei und Stadt St. Gallen im Hoch- und Spätmittelalter (1199-1491) aus reformatorischer Sicht		Joachim v. Watt (Vadian), Die Grössere Chronik der Äbte. Abtei und Stadt St. Gallen im Hoch- und Spätmittelalter (1199-1491) aus reformatorischer Sicht, hg. v. Bernhard Stettler, 2 Bde., Zürich 2010.
Vanautgaerden	Erasme typographe. Humanisme et imprimerie au début du XVI		Alexandre Vanautgaerden, Erasme typographe. Humanisme et imprimerie au début du XVI
Varrentrapp (Varrentrapp, Reformationsversuch)	Hermann von Wied und sein Reformationsversuch in Köln. Ein Beitrag zur deutschen Reformationsgeschichte		Conrad Varrentrapp, Hermann von Wied und sein Reformationsversuch in Köln. Ein Beitrag zur deutschen Reformationsgeschichte, Leipzig 1878.
Vasella, St. Nicolai	Die Geschichte des Predigerklosters St. Nicolai in Chur		Oskar Vasella, Die Geschichte des Predigerklosters St. Nicolai in Chur, Diss. Freiburg I. Üe. 1928, Paris 1931. - Institutum Historicum FF. Praedicatorum, Dissertationes Historicae I.
Venetianische Depeschen	Venetianische Depeschen vom Kaiserhofe (Dispacci di Germania)		Venetianische Depeschen vom Kaiserhofe (Dispacci di Germania), hg. v. der Historischen Kommission der Kaiserlichen Akademie der Wissenschaften, 3 Bde., Wien 1889-1895.
Verzeichnis	Verzeichniß des Geschlechts der Bullinger und was sie der Kirche zu Bremgarten vergabet haben; verfaßt durch Heinrich Bullinger		Verzeichniß des Geschlechts der Bullinger und was sie der Kirche zu Bremgarten vergabet haben; verfaßt durch Heinrich Bullinger, den aͤltern, Pfarrer bei dem großen Münster in Zürich, im Jahr 1568, in Helvetia. Denkwürdigkeiten für die XXII Freistaaten der Schweizerischen Eidgenossenschaft, hg. V. Joseph Anton Balthasar, Bd. I., Zürich 1823, S. 91-112.
Verzeichnis	Aus dem "Verzeichnis des Geschlechts der Bullinger"		Emil Egli, Aus dem "Verzeichnis des Geschlechts der Bullinger", in: Zwa I 444-448.
Verzeichnis	Aus der Geschichte des Geschlechts der Bullinger von Bremgarten und Zürich (ausgestorben 1916)		F. O[tto] Pestalozzi, Aus der Geschichte des Geschlechts der Bullinger von Bremgarten und Zürich (ausgestorben 1916), in: ZTB 1930, NF, Jg. 50, S. 1-82.
Viglius van Zwichem	Des Viglius van Zwichem Tagebuch des Schmalkaldischen Donaukriegs		Des Viglius van Zwichem Tagebuch des Schmalkaldischen Donaukriegs, nach dem Autograph des Brüsseler Staatsarchivs hg. v. August von Druffel, München 1877.
Viénot	Histoire de la Réforme dans le pays de Montbéliard depuis les origines jusqu'à la mort de P. Toussain, 1524-1573		John Viénot, Histoire de la Réforme dans le pays de Montbéliard depuis les origines jusqu'à la mort de P. Toussain, 1524-1573, 2 Bde., Paris 1900.
Vogel	Das Zweite Regensburger Religionsgespräch von 1546. Politik und Theologie zwischen Konsensdruck und Selbstbehauptung		Lothar Vogel, Das Zweite Regensburger Religionsgespräch von 1546. Politik und Theologie zwischen Konsensdruck und Selbstbehauptung, Gütersloh 2009 - QFRG 82.
Voigt	Briefwechsel der berühmtesten Gelehrten mit Herzog Albrecht von Preußen		Johannes Voigt, Briefwechsel der berühmtesten Gelehrten mit Herzog Albrecht von Preußen, Königsberg 1841.
Voigt, Albrecht	Markgraf Albrecht Alcibiades von Brandenburg-Kulmbach		Johannes Voigt, Markgraf Albrecht Alcibiades von Brandenburg-Kulmbach, 2 Bde., Berlin 1852.
Voigt, Geschichtschr.	Die Geschichtschreibung über den Schmalkaldischen Krieg		Georg Voigt, Die Geschichtschreibung über den Schmalkaldischen Krieg, Leipzig 1874.
Voigt, Moritz	Moritz von Sachsen 1541-1547		Georg Voigt, Moritz von Sachsen 1541-1547, Leipzig 1876.
Volz, Urkunden	Urkunden und Aktenstücke zur Geschichte von Martin Luthers Schmalkaldischen Artikeln (1536-1574)		Urkunden und Aktenstücke zur Geschichte von Martin Luthers Schmalkaldischen Artikeln (1536-1574), unter Mitarbeit von Heinrich Ulbrich hg. u. erläutert von Hans Volz, Berlin 1957 - Kleine Texte für Vorlesungen und Übungen 179.
Von Stetten, Augsburg	Geschichte der Heil. Röm. Reichs Freyen Stadt Augsburg aus Bewährten Jahr-Büchern und Tüchtigen Urkunden gezogen und an das Licht gegeben		Paul von Stetten, Geschichte der Heil. Röm. Reichs Freyen Stadt Augsburg aus Bewährten Jahr-Büchern und Tüchtigen Urkunden gezogen und an das Licht gegeben, Frankfurt/Leipzig 1743.
Vorläufige Transkriptionen der HBBW-EditorInnen	(unveröffentlichte Transkriptionen)	0	Vorläufige Transkription der HBBW-EditorInnen
Vuilleumier	Histoire de l'Église Réformée du Pays de Vaud sous le Régime Bernois		Henri Vuilleumier, Histoire de l'Église Réformée du Pays de Vaud sous le Régime Bernois, Bd. I: L’Âge de la Réforme, Lausanne 1927.
Vögeli, Schriften	Schriften zur Reformation in Konstanz 1519-1538		Jörg Vögeli, Schriften zur Reformation in Konstanz 1519-1538, hg. v. Alfred Vögeli, 3 Bde., Tübingen/Basel 1972-1973 - SKRG 39-41.
Vögelin (Vögelin, Das alte Zürich)	Das alte Zürich		Salomon Vögelin, Das alte Zürich. Bd. I: Eine Wanderung durch Zürich im Jahr 1504, 2. umgearbeitete Aufl. v. Arnold Nüscheler und Friedrich Salomon Vögelin, Zürich 1878; Bd. II: Beiträge zur Geschichte der Stadt Zürich und ihrer Nachbargemeinden, hg. v. einer Vereinigung Zürcherischer Geschichtsfreunde, Zürich 1890; Register [zu Bd. 1] v. Friedrich Otto Pestalozzi, Zürich 1928.
WA	D. Martin Luthers Werke. Kritische Gesamtausgabe (Weimarer Ausgabe)		D. Martin Luthers Werke. Kritische Gesamtausgabe (Weimarer Ausgabe), Weimar u.a. 1883-2009.
WA-BW (WA Briefwechsel)	D. Martin Luthers Werke. Kritische Gesamtausgabe (WA), Briefwechsel		D. Martin Luthers Werke. Kritische Gesamtausgabe (WA), Briefwechsel, 18 Bde., Weimar 1930-1985.
WA-DB (WA DB)	D. Martin Luthers Werke. Kritische Gesamtausgabe (WA), Deutsche Bibel		D. Martin Luthers Werke. Kritische Gesamtausgabe (WA), Deutsche Bibel, 12 Bde., Weimar 1906-1961.
WA-TR (WA TR)	D. Martin Luthers Werke. Kritische Gesamtausgabe (WA), Tischreden		D. Martin Luthers Werke. Kritische Gesamtausgabe (WA), Tischreden, 6 Bde., Weimar 1912-1921.
Wagner, Fürstenberg	Graf Wilhelm von Fürstenberg, 1491-1549, und die politisch-geistigen Mächte seiner Zeit		Johannes Volker Wagner, Graf Wilhelm von Fürstenberg, 1491-1549, und die politisch-geistigen Mächte seiner Zeit, Stuttgart 1966 - Pariser Historische Studien 4.
Waitz, Lübeck	Lübeck unter Jürgen Wullenwever und die europäische Politik		Georg Waitz, Lübeck unter Jürgen Wullenwever und die europäische Politik, 3 Bde., Berlin 1855-1856.
Walch	Dr. Martin Luthers Sämtliche Schriften		Dr. Martin Luthers Sämtliche Schriften, hg. v. Johann Georg Walch, 2., überarb. Aufl., 23 Bde., St. Louis/Missouri 1880-1910 (Nachdruck: Groß Oesingen 1986).
Walliser Abschiede (Walliser Landrats-Abschiede)	Die Walliser Landrats-Abschiede seit dem Jahre 1500	3	Die Walliser Landrats-Abschiede seit dem Jahre 1500, hg. im Auftrage der Regierung des Kantons Wallis, Bd. 3 (1529-1547), bearb. v. Bernhard Truffer, Sitten 1973.
Walser	Die Prädestination bei Heinrich Bullinger im Zusammenhang mit seiner Gotteslehre		Peter Walser, Die Prädestination bei Heinrich Bullinger im Zusammenhang mit seiner Gotteslehre, Zürich 1957. - StDTh XI.
Walther	Carmina medii aevi posterioris Latina		Carmina medii aevi posterioris Latina, Bd. I/1: Initia carminum ac versuum medii aevi posterioris Latinorum. Alphabetisches Verzeichnis der Versanfänge mittellateinischer Dichtung, hg. v. Hans Walther, Göttingen 1959; Bd. I/2: Ergänzungen und Berichtigungen zu Bd. I/1, hg. v. Hans Walther, Göttigen 1969. Bd. II/1-6: Proverbia sententiaeque Latinitatis medii aevi. Lateinische Sprichwörter und Sentenzen des Mittelalters in alphabetischer Anordnung, hg. v. Hans Walther, Göttingen 1963-1969; Bd. II/7-9: Proverbia sententiaeque Latinitatis medii ac recentioris aevi. Nova series. Lateinische Sprichwörter und Sentenzen des Mittelalters und der frühen Neuzeit in alphabetischer Anordnung. Neue Reihe, hg. v. Paul Gerhard Schmidt, Göttingen 1982-1986.
Wander	Deutsches Sprichwörter-Lexikon. Ein Hausschatz für das deutsche Volk		Deutsches Sprichwörter-Lexikon. Ein Hausschatz für das deutsche Volk, hg. v. Karl Friedrich Wilhelm Wander, 5 Bde., Leipzig 1867-1880.
Warmbrunn	Zwei Konfessionen in einer Stadt. Das Zusammenleben von Katholiken und Protestanten in den paritätischen Reichsstädten Augsburg, Biberach, Ravensburg und Dinkelsbühl von 1548 bis 1648		Paul Warmbrunn, Zwei Konfessionen in einer Stadt. Das Zusammenleben von Katholiken und Protestanten in den paritätischen Reichsstädten Augsburg, Biberach, Ravensburg und Dinkelsbühl von 1548 bis 1648, Wiesbaden 1983 - Veröffentlichungen des Instituts für Europäische Geschichte Mainz, Abteilung für abendländische Religionsgeschichte 111.
Weber, Schwenck. (Weber, Schwenckfeld)	Kaspar Schwenckfeld und seine Anhänger in den freybergischen Herrschaften Justingen und Öpfingen. Ein Beitrag zur Reformationsgeschichte im Alb-Donau-Raum		Franz Michael Weber, Kaspar Schwenckfeld und seine Anhänger in den freybergischen Herrschaften Justingen und Öpfingen. Ein Beitrag zur Reformationsgeschichte im Alb-Donau-Raum, Stuttgart 1962 - Veröffentlichungen der Kommission für geschichtliche Landeskunde in Baden-Württemberg, Reihe B 19.
Weissenbach	Die Reformation in Bremgarten		Plazidus Weissenbach, Die Reformation in Bremgarten, in: Argovia. Jahresschrift der Historischen Gesellschaft des Kantons Aargau, Bd. VI, 1871, S. 1-125.
Weissmann	Die Einnahme Neuburgs im Schmalkaldischen Krieg 1546 und die "Schmach von Neuburg"		Albrecht Weissmann, Die Einnahme Neuburgs im Schmalkaldischen Krieg 1546 und die "Schmach von Neuburg", in: Neuburger Kollektaneenblatt 144, 1996, 110-121.
Weisz, Jud	Leo Jud, Ulrich Zwinglis Kampfgenosse		Leo Weisz, Leo Jud, Ulrich Zwinglis Kampfgenosse, 1482-1542, Zürich 1942.
Widmann, Chronik (Widmann)	Leonhart Widmann's Chronik von Regensburg		Leonhart Widmann's Chronik von Regensburg 1511-43. 1552-55, in: Die Chroniken der baierischen Städte. Regensburg. Landshut. Mühldorf. München, Leipzig 1878 - Die Chroniken der deutschen Städte vom 14. bis ins 16. Jahrhundert 15.
Wiggenhauser	Klerikale Karrieren. Das ländliche Chorherrenstift Embrach und seine Mitglieder im Mittelalter		Béatrice Wiggenhauser, Klerikale Karrieren. Das ländliche Chorherrenstift Embrach und seine Mitglieder im Mittelalter, Diss. phil. Zürich, Zürich 1997.
Wijnkoop Lüthi	Druckwerkeverzeichnis des Wolfgang Musculus (1497-1563)		Marc van Wijnkoop Lüthi, Druckwerkeverzeichnis des Wolfgang Musculus (1497-1563), in: Wolfgang Musculus (1497-1563) und die oberdeutsche Reformation, hg. v. Rudolf Dellsperger, Rudolf Freudenberger und Wolfgang Weber, Berlin 1997 - Institut für Europäische Kulturgeschichte der Universität Augsburg. Colloquia Augustana 6, S. 351-414.
Wille	Philipp der Großmüthige von Hessen und die Restitution Ulrichs von Wirtemberg 1526-1535		Jakob Wille, Philipp der Großmüthige von Hessen und die Restitution Ulrichs von Wirtemberg 1526-1535, Tübingen 1882.
Willem Klebitius	Bijdragen voor vaderlandsche geschiedenis en oudheidkunde	5	Nijhoff, Arnhem (1847) "Bijdragen voor Vaderlandsche Geschiedenis en Oudheidkunde. Vijfde Deel."
Winckelmann	Der Schmalkaldische Bund 1530-1532 und der Nürnberger Religionsfriede		Otto Winckelmann, Der Schmalkaldische Bund 1530-1532 und der Nürnberger Religionsfriede, Straßburg 1892.
Wipf, Schaffhausen (Wipf)	Reformationsgeschichte der Stadt und Landschaft Schaffhausen		Jakob Wipf, Reformationsgeschichte der Stadt und Landschaft Schaffhausen, Zürich 1929.
Wolrad, Augsburg	Des Grafen Wolrad von Waldeck Tagebuch während des Reichstages zu Augsburg 1548		Des Grafen Wolrad von Waldeck Tagebuch während des Reichstages zu Augsburg 1548, hg. von Carl Ludwig Philipp Tross, Stuttgart 1861.
Wolrad, Regensb. RG	Das Tagebuch des Grafen Wolrad II. zu Waldeck zum Regensburger Religionsgespräch, 1546		Victor Schultze, Das Tagebuch des Grafen Wolrad II. zu Waldeck zum Regensburger Religionsgespräch, 1546, in: ARG 7, 1909/10, 135-184. 294-347.
Wotschke	Der Briefwechsel der Schweizer mit den Polen		Der Briefwechsel der Schweizer mit den Polen, hg. v. Theodor Wotschke, Leipzig 1908 - ARG. Texte und Untersuchungen. Ergänzungsband 3.
Wyss, Chronik (Wyss)	Die Chronik des Bernhard Wyss		Die Chronik des Bernhard Wyss, 1519-1530, hg. v. Georg Finsler, Basel 1901 - QSRG 1.
Wyss, Jud	Leo Jud. Seine Entwicklung zum Reformator 1519-1523	61	Karl-Heinz Wyss, Leo Jud. Seine Entwicklung zum Reformator 1519-1523, Bern und Frankfurt a.M. 1976. - Europäische Hochschulschriften, Reihe III, Bd. 61.
Yoder I	Täufertum und Reformation in der Schweiz		John H. Yoder, Täufertum und Reformation in der Schweiz. I. Die Gespräche zwischen Täufern und Reformatoren 1523-1538, Karlsruhe 1962. - Schriftenreihe des Mennonitischen Geschichtsvereins, Nr. 6.
Yoder II	Täufertum und Reformation im Gespräch. Dogmengeschichtliche Untersuchung der frühen Gespräche zwischen Schweizerischen Täufern und Reformatoren		John H. Yoder, Täufertum und Reformation im Gespräch. Dogmengeschichtliche Untersuchung der frühen Gespräche zwischen Schweizerischen Täufern und Reformatoren, Zürich (1968). - Basler Studien zur historischen und systematischen Theologie, Bd. XIII.
Z	Huldreich Zwinglis sämtliche Werke		Huldreich Zwinglis sämtliche Werke, hg. v. Emil Egli, Georg Finsler, Walther Köhler u.a., 14 Bde., Berlin u.a. 1905-1991 - CR LXXXVIII-CI.
ZBRG	Zürcher Beiträge zur Reformationsgeschichte		Zürcher Beiträge zur Reformationsgeschichte, Zürich u.a. 1970ff.
ZED	Zürcher Einblattdrucke des 16. Jahrhunderts		Manfred Vischer, Zürcher Einblattdrucke des 16. Jahrhunderts, Baden-Baden 2001 - BBA 185.
ZGO	Zeitschrift für die Geschichte des Oberrheins		Zeitschrift für die Geschichte des Oberrheins, Karlsruhe 1850ff.
ZKG	Zeitschrift für Kirchengeschichte		Zeitschrift für Kirchengeschichte, Gotha/Stuttgart 1876ff.
ZSKG	Zeitschrift für Schweizerische Kirchengeschichte		Zeitschrift für Schweizerische Kirchengeschichte, Fribourg 1907-2003.
ZTB	Zürcher Taschenbuch		Zürcher Taschenbuch, NF 1ff, Zürich 1878ff.
ZUB	Urkundenbuch der Stadt und Landschaft Zürich		Urkundenbuch der Stadt und Landschaft Zürich, hg. v. einer Commission der antiquarischen Gesellschaft in Zürich, bearb. von Jakob Escher und Paul Schweizer, 13 Bde., Zürich 1888-1957.
ZWTh	Zeitschrift für Wissenschaftliche Theologie. Jena		Zeitschrift für Wissenschaftliche Theologie. Jena, Halle, Leipzig, Frankfurt a.M. 1858-1913.
Zedler	Großes vollständiges Universal-Lexicon aller Wissenschafften und Künste		Großes vollständiges Universal-Lexicon aller Wissenschafften und Künste, hg. v. Johann Heinrich Zedler und Johann Peter von Ludewig, 64 Bde. und 4 Erg.-Bde., Leipzig 1732-1754 (Online: http://www.zedler-lexikon.de/).
Zimmermann	Heinrich Bullingers schriftliche Arbeiten bis zum Jahr 1528. Eine bibliographische Untersuchung		Hans Georg Zimmermann, Heinrich Bullingers schriftliche Arbeiten bis zum Jahr 1528. Eine bibliographische Untersuchung, in: Zwa IX 220-239.
Zsindely	Heinrich Bullingers Berufungen im Jahre 1531		Endre Zsindely, Heinrich Bullingers Berufungen im Jahre 1531, in: Zwa XII 668-676.
Zurich Letters	The Zurich Letters		The Zurich Letters, comprising the correspondence of several English bishops and others, with some of the Helvetian reformers, during the reign of queen Elizabeth. Translated and edited by the Rev. Hastings Robinson, 2 Bde., Cambridge 1842/1845 (Nachdruck: New York/London 1968); second edition, chronologically arranged in one series, Cambridge 1846.
Zwa	Zwingliana		Zwingliana. Mitteilungen zur Geschichte Zwinglis und der Reformation (ab 1934: Beiträge zur Geschichte Zwinglis, der Reformation und des Protestantismus in der Schweiz; ab 2010: Beiträge zur Geschichte des Protestantismus in der Schweiz und seiner Ausstrahlung), Zürich 1897ff.
Zwingli Bibl. (Finsler)	Zwingli-Bibliographie		Georg Finsler, Zwingli-Bibliographie. Verzeichnis der gedruckten Schriften von und über Ulrich Zwingli, Zürich 1897.
Zürcher Kunst	Zürcher Kunst nach der Reformation. Hans Asper und seine Zeit. Katalog der Ausstellung im Helmhaus		Zürcher Kunst nach der Reformation. Hans Asper und seine Zeit. Katalog der Ausstellung im Helmhaus, Zürich 9. Mai bis 28. Juni 1981, Zürich 1981.
Zürcher, Pellikan (Zürcher)	Konrad Pellikans Wirken in Zürich 1526-1556		Christoph Zürcher, Konrad Pellikans Wirken in Zürich 1526-1556, Zürich 1975 - ZBRG 4.
ÖNB16 (Wien NB-16)	Katalog der Drucke des 16. Jahrhunderts in der Österreichischen Nationalbibliothek		Gedeon Borsa, Katalog der Drucke des 16. Jahrhunderts in der Österreichischen Nationalbibliothek, Baden-Baden 2007ff - Bibliotheca bibliographica Aureliana.
