,letter_id,edition,sent_count,cont_footnote_count,ed_footnote_count,footnotes_per_sentence
134,10157,02,38,14,9,0.3684210526315789
135,10158,02,15,25,1,1.6666666666666667
136,10159,02,765,112,76,0.14640522875816994
137,10160,02,16,26,0,1.625
138,10161,02,35,15,0,0.42857142857142855
139,10162,02,7,2,0,0.2857142857142857
140,10163,02,24,17,0,0.7083333333333334
141,10164,02,26,11,3,0.4230769230769231
142,10165,02,9,8,1,0.8888888888888888
143,10166,02,14,32,0,2.2857142857142856
144,10167,02,15,7,2,0.4666666666666667
145,10168,02,7,15,0,2.142857142857143
146,10169,02,12,6,3,0.5
147,10170,02,10,2,1,0.2
148,10171,02,34,28,2,0.8235294117647058
149,10172,02,28,24,3,0.8571428571428571
150,10173,02,13,15,4,1.1538461538461537
151,10174,02,42,9,0,0.21428571428571427
152,10175,02,20,5,1,0.25
153,10176,02,19,12,2,0.631578947368421
154,10177,02,24,6,0,0.25
155,10178,02,23,39,0,1.6956521739130435
156,10179,02,9,4,0,0.4444444444444444
157,10180,02,19,9,0,0.47368421052631576
158,10181,02,21,9,0,0.42857142857142855
159,10182,02,22,7,2,0.3181818181818182
160,10183,02,31,11,1,0.3548387096774194
161,10184,02,47,111,17,2.3617021276595747
162,10185,02,25,14,2,0.56
163,10186,02,22,21,3,0.9545454545454546
164,10187,02,17,18,0,1.0588235294117647
165,10188,02,17,11,1,0.6470588235294118
166,10189,02,23,13,1,0.5652173913043478
167,10190,02,24,34,1,1.4166666666666667
168,10191,02,14,6,0,0.42857142857142855
169,10192,02,30,21,0,0.7
170,10193,02,11,12,0,1.0909090909090908
171,10194,02,20,12,0,0.6
172,10195,02,25,8,0,0.32
173,10196,02,63,31,7,0.49206349206349204
174,10197,02,25,31,1,1.24
175,10198,03,11,2,2,0.18181818181818182
176,10199,03,8,11,2,1.375
177,10200,03,42,20,1,0.47619047619047616
178,10201,03,45,19,0,0.4222222222222222
179,10202,03,15,5,0,0.3333333333333333
180,10203,03,19,7,0,0.3684210526315789
181,10204,03,21,26,5,1.2380952380952381
182,10205,03,20,13,0,0.65
183,10206,03,27,15,2,0.5555555555555556
184,10207,03,79,118,15,1.4936708860759493
185,10208,03,47,12,2,0.2553191489361702
186,10209,03,9,0,1,0.0
187,10210,03,18,8,0,0.4444444444444444
188,10211,03,14,18,0,1.2857142857142858
189,10212,03,24,3,0,0.125
190,10213,03,8,3,0,0.375
191,10214,03,23,16,0,0.6956521739130435
192,10215,03,8,1,1,0.125
193,10216,03,27,19,0,0.7037037037037037
194,10217,03,42,18,5,0.42857142857142855
195,10218,03,9,5,0,0.5555555555555556
196,10219,03,28,21,0,0.75
197,10220,03,68,21,0,0.3088235294117647
198,10221,03,26,10,1,0.38461538461538464
199,10222,03,38,14,6,0.3684210526315789
200,10223,03,32,19,0,0.59375
201,10224,03,14,4,1,0.2857142857142857
202,10225,03,16,7,0,0.4375
203,10226,03,13,6,0,0.46153846153846156
204,10227,03,8,2,0,0.25
